FlightId: 1, Airline: British Airways, DepartureLocation: Tokyo, ArrivalLocation: Rome, DepartureTime: 2025-02-26 20:37:48.958319, ArrivalTime: 2025-02-27 02:37:48.958319, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 10, Price: 1840.98, IsBooked: False), (TicketId: 11, Price: 1133.25, IsBooked: False), (TicketId: 12, Price: 749.87, IsBooked: False), (TicketId: 13, Price: 901.66, IsBooked: False)]
FlightId: 2, Airline: British Airways, DepartureLocation: Dubai, ArrivalLocation: Cairo, DepartureTime: 2025-02-28 21:37:48.958379, ArrivalTime: 2025-02-28 23:37:48.958379, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 20, Price: 220.28, IsBooked: False), (TicketId: 21, Price: 1737.67, IsBooked: True), (TicketId: 22, Price: 1370.23, IsBooked: True), (TicketId: 23, Price: 431.95, IsBooked: False), (TicketId: 24, Price: 343.1, IsBooked: True)]
FlightId: 3, Airline: Delta, DepartureLocation: Tokyo, ArrivalLocation: Rome, DepartureTime: 2025-02-26 23:37:48.958417, ArrivalTime: 2025-02-27 10:37:48.958417, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 30, Price: 1550.12, IsBooked: True), (TicketId: 31, Price: 1006.26, IsBooked: False), (TicketId: 32, Price: 1802.18, IsBooked: False), (TicketId: 33, Price: 289.34, IsBooked: True), (TicketId: 34, Price: 649.93, IsBooked: False)]
FlightId: 4, Airline: Turkish Airlines, DepartureLocation: Istanbul, ArrivalLocation: New York, DepartureTime: 2025-03-01 03:37:48.958448, ArrivalTime: 2025-03-01 16:37:48.958448, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 40, Price: 1635.25, IsBooked: False), (TicketId: 41, Price: 742.86, IsBooked: False)]
FlightId: 5, Airline: Delta, DepartureLocation: Tokyo, ArrivalLocation: Bangkok, DepartureTime: 2025-02-19 22:37:48.958469, ArrivalTime: 2025-02-20 13:37:48.958469, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 50, Price: 1047.52, IsBooked: True), (TicketId: 51, Price: 240.84, IsBooked: False), (TicketId: 52, Price: 1121.78, IsBooked: False), (TicketId: 53, Price: 363.32, IsBooked: True), (TicketId: 54, Price: 573.39, IsBooked: True)]
FlightId: 6, Airline: Emirates, DepartureLocation: Bangkok, ArrivalLocation: New York, DepartureTime: 2025-02-24 19:37:48.958496, ArrivalTime: 2025-02-25 02:37:48.958496, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 60, Price: 1283.33, IsBooked: True), (TicketId: 61, Price: 127.77, IsBooked: True), (TicketId: 62, Price: 1388.89, IsBooked: False), (TicketId: 63, Price: 482.31, IsBooked: False)]
FlightId: 7, Airline: Lufthansa, DepartureLocation: Bangkok, ArrivalLocation: Tokyo, DepartureTime: 2025-02-12 21:37:48.958521, ArrivalTime: 2025-02-13 10:37:48.958521, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 70, Price: 144.13, IsBooked: False), (TicketId: 71, Price: 1896.91, IsBooked: True), (TicketId: 72, Price: 1750.82, IsBooked: False), (TicketId: 73, Price: 928.51, IsBooked: False)]
FlightId: 8, Airline: Air France, DepartureLocation: Cairo, ArrivalLocation: Tokyo, DepartureTime: 2025-02-25 02:37:48.958546, ArrivalTime: 2025-02-25 13:37:48.958546, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 80, Price: 1162.62, IsBooked: False), (TicketId: 81, Price: 1769.54, IsBooked: True), (TicketId: 82, Price: 1866.23, IsBooked: False), (TicketId: 83, Price: 266.41, IsBooked: True), (TicketId: 84, Price: 1306.7, IsBooked: True)]
FlightId: 9, Airline: Turkish Airlines, DepartureLocation: Paris, ArrivalLocation: Dubai, DepartureTime: 2025-02-28 03:37:48.958573, ArrivalTime: 2025-02-28 08:37:48.958573, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 90, Price: 1635.64, IsBooked: False), (TicketId: 91, Price: 1556.82, IsBooked: False), (TicketId: 92, Price: 622.68, IsBooked: True), (TicketId: 93, Price: 1878.94, IsBooked: True), (TicketId: 94, Price: 1029.12, IsBooked: True)]
FlightId: 10, Airline: Emirates, DepartureLocation: Rome, ArrivalLocation: New York, DepartureTime: 2025-02-27 04:37:48.958601, ArrivalTime: 2025-02-27 17:37:48.958601, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 100, Price: 408.01, IsBooked: False), (TicketId: 101, Price: 1352.03, IsBooked: False), (TicketId: 102, Price: 594.7, IsBooked: True)]
FlightId: 11, Airline: British Airways, DepartureLocation: New York, ArrivalLocation: Rome, DepartureTime: 2025-02-22 23:37:48.958622, ArrivalTime: 2025-02-23 02:37:48.958622, SeatClass: FirstClass | BusinessClass | Economy | PremiumEconomy, TicketList: [(TicketId: 110, Price: 309.09, IsBooked: False), (TicketId: 111, Price: 830.49, IsBooked: False), (TicketId: 112, Price: 466.6, IsBooked: False), (TicketId: 113, Price: 1516.1, IsBooked: False), (TicketId: 114, Price: 1435.21, IsBooked: False)]
